"Lon" "Lat" "ATbiome"
49.5 49.5 4
18.5 50.5 2
-50.5 -21.5 1
-3.5 39.5 4
-62.5 4.5 1
151.5 -26.5 4
17.5 2.5 1
21.5 5.5 1
142.5 -33.5 6
103.5 37.5 3
64.5 31.5 6
111.5 36.5 4
44.5 51.5 4
-60.5 -38.5 2
71.5 42.5 3
-57.5 -37.5 2
69.5 37.5 4
-53.5 3.5 1
16.5 14.5 6
-97.5 26.5 4
145.5 -23.5 6
-52.5 0.5 1
-57.5 -20.5 1
-75.5 46.5 3
90.5 47.5 6
-116.5 54.5 3
66.5 57.5 3
-50.5 -11.5 1
-61.5 0.5 1
44.5 -24.5 4
7.5 52.5 2
-133.5 59.5 3
27.5 13.5 6
-149.5 64.5 3
-73.5 8.5 1
-46.5 -17.5 1
54.5 53.5 3
22.5 7.5 1
30.5 31.5 6
-75.5 44.5 2
149.5 -23.5 6
113.5 52.5 3
-97.5 56.5 3
54.5 50.5 3
42.5 19.5 6
24.5 57.5 2
141.5 -35.5 6
-35.5 -6.5 1
119.5 50.5 3
-54.5 -23.5 1
-0.5 32.5 6
26.5 -16.5 4
127.5 -14.5 4
18.5 -29.5 6
-101.5 42.5 4
-60.5 -26.5 4
81.5 6.5 1
127.5 35.5 2
36.5 54.5 2
96.5 57.5 3
33.5 37.5 4
39.5 13.5 4
-71.5 -52.5 3
-59.5 -7.5 1
48.5 -13.5 1
43.5 61.5 3
24.5 -13.5 4
56.5 24.5 6
73.5 29.5 5
35.5 5.5 4
25.5 -10.5 1
77.5 57.5 3
15.5 10.5 4
-100.5 23.5 6
143.5 -18.5 4
-102.5 26.5 6
-67.5 -37.5 6
124.5 54.5 3
-65.5 -34.5 4
114.5 51.5 3
141.5 39.5 2
30.5 55.5 2
-63.5 -31.5 4
145.5 -20.5 6
-75.5 39.5 2
-49.5 -28.5 2
-79.5 -2.5 1
17.5 13.5 6
-152.5 60.5 7
22.5 -21.5 4
11.5 13.5 6
121.5 47.5 3
-75.5 -0.5 1
45.5 9.5 6
47.5 32.5 6
134.5 -18.5 6
108.5 55.5 3
-97.5 51.5 3
18.5 -15.5 4
22.5 4.5 1
75.5 51.5 3
70.5 54.5 7
-120.5 45.5 4
118.5 9.5 1
26.5 5.5 1
-63.5 -32.5 4
47.5 53.5 3
54.5 43.5 6
43.5 56.5 3
5.5 46.5 2
61.5 33.5 6
172.5 -40.5 2
-92.5 32.5 2
103.5 18.5 1
27.5 -0.5 1
13.5 9.5 4
-114.5 36.5 6
135.5 44.5 3
-108.5 56.5 3
73.5 46.5 6
72.5 62.5 3
-68.5 -6.5 1
40.5 -14.5 4
33.5 9.5 4
-86.5 40.5 4
-58.5 -22.5 1
-58.5 -8.5 1
-151.5 64.5 3
33.5 -6.5 4
77.5 8.5 4
10.5 63.5 3
-59.5 -35.5 2
25.5 -33.5 4
-106.5 55.5 3
-103.5 33.5 6
23.5 -28.5 6
28.5 -0.5 1
139.5 -6.5 1
117.5 51.5 3
35.5 -0.5 2
136.5 52.5 3
-99.5 40.5 4
37.5 -8.5 1
24.5 50.5 4
80.5 50.5 3
-80.5 50.5 3
125.5 42.5 3
-73.5 5.5 2
-66.5 -8.5 1
44.5 63.5 3
34.5 -4.5 4
28.5 -31.5 2
-84.5 44.5 2
82.5 21.5 4
-112.5 27.5 6
-71.5 -48.5 3
-54.5 -34.5 2
35.5 57.5 2
-76.5 52.5 3
12.5 60.5 3
104.5 29.5 5
-14.5 13.5 6
-87.5 14.5 1
-72.5 11.5 6
68.5 33.5 4
70.5 58.5 3
-74.5 7.5 1
124.5 46.5 3
-69.5 -4.5 1
133.5 -14.5 4
20.5 9.5 4
137.5 53.5 3
64.5 30.5 6
39.5 -13.5 4
115.5 29.5 5
46.5 55.5 3
102.5 2.5 1
79.5 52.5 3
7.5 36.5 4
124.5 8.5 1
38.5 62.5 3
134.5 54.5 3
63.5 63.5 3
45.5 -22.5 4
12.5 10.5 6
115.5 1.5 1
45.5 35.5 6
81.5 50.5 3
9.5 14.5 6
105.5 49.5 3
69.5 22.5 4
-75.5 -12.5 6
147.5 -35.5 4
-51.5 -21.5 1
105.5 47.5 6
41.5 -1.5 4
-110.5 49.5 3
102.5 3.5 1
-7.5 38.5 4
7.5 16.5 6
31.5 59.5 2
16.5 67.5 7
-7.5 41.5 2
62.5 52.5 3
128.5 53.5 3
32.5 61.5 3
113.5 49.5 3
-61.5 53.5 3
40.5 47.5 4
102.5 47.5 6
65.5 54.5 3
-48.5 -11.5 1
11.5 45.5 2
115.5 45.5 6
-157.5 62.5 3
-114.5 52.5 3
-71.5 -12.5 1
-49.5 -17.5 1
-84.5 14.5 1
46.5 37.5 3
115.5 43.5 6
-90.5 41.5 4
26.5 -2.5 1
98.5 3.5 1
81.5 25.5 4
54.5 61.5 3
23.5 -14.5 4
-125.5 52.5 3
67.5 49.5 3
