"Lon" "Lat" "newFPU"
28.0454545454545 -27.3181818181818 4100
29.6875 38.625 4101
29.5 -18.0833333333333 4102
29.25 -24.75 4103
27.8333333333333 -12.1666666666667 4104
27.5 -20.5 4105
28 -29.5 4106
27.5 41.5 4107
29.5 45.5 4108
6.5 6.5 4109
31.6428571428571 -19.5 4110
33.5666666666667 -16.0333333333333 4111
31.5 -26.5 4112
32.8333333333333 -7.66666666666667 4113
35.22 -4.74 4114
34.3888888888889 -23.3888888888889 4115
42.3 38.5 4116
34 -13.5 4117
33.5 3.5 4118
34.5 2.5 4119
38.5416666666667 -13.125 4120
37.9545454545455 -1.40909090909091 4121
35.5 33.5 4122
38 -10.5 4123
38.1428571428571 12.7857142857143 4124
36.5 35.5 4125
37.1666666666667 49.8333333333333 4126
37.5 51.5 4127
38.5 15.5 4128
40.2333333333333 6.36666666666667 4129
42.2692307692308 46.4615384615385 4130
6.4 9.8 4131
4.5 15.5 4132
46.6111111111111 47.6111111111111 4133
42.5 0.5 4134
45.9444444444444 -21.6111111111111 4135
45 36.5 4136
49 37.5 4137
48.1 40.3 4138
49.0555555555556 48.6111111111111 4139
50.5 37.5 4140
53.1363636363636 48.2272727272727 4141
67.3 38.9 4142
68 40.5 4143
68.9 42.9 4144
68.5 33.5 4145
71.6 44 4146
70.7857142857143 23.5 4147
69.5 37.5 4148
71.7 22.3 4149
72.7727272727273 33.0454545454545 4150
72.5 40.5 4151
78.8333333333333 10.1666666666667 4152
75.85 21.95 4153
77.22 16.26 4154
79.2692307692308 19.5769230769231 4155
77.8888888888889 24.5555555555556 4156
78.5 44 4157
77.75 12.25 4158
81.02 26.82 4159
79.3333333333333 12.8333333333333 4160
80.5 9 4161
82.9615384615385 21.8846153846154 4162
82.5 17.5 4163
85.1666666666667 24.8333333333333 4164
86.5 23.5 4165
88.5 44.5 4166
9.5 37.5 4167
95.5 21.5 4168
-11.5 16.5 5001
-101 19.5 5002
-104.5 43 5003
-111.166666666667 29.8333333333333 5004
-105.5 29.5 5005
-111.5 32.5 5006
-117.166666666667 46.8333333333333 5007
-122 41.5 5008
-15.5 15.5 5009
-15.5 14.5 5010
-8.16666666666667 40.1666666666667 5011
-65.5 -21.5 5012
-60.1666666666667 -28.8333333333333 5013
-62.5 -30.5 5014
-67.5 -19.5 5015
-69.5 -31 5016
-70 -50.5 5017
-7.83333333333333 32.8333333333333 5018
-71.5 -30.5 5019
-73.5 -15.5 5020
-80.5 28.5 5021
-9.5 16.5 5022
-91.5 30.5 5023
-94.5 33.5 5024
-95.8333333333333 31.8333333333333 5025
-97.5 17.5 5026
100.5 22.5 5027
105.6 29.9 5028
109.166666666667 23.6666666666667 5029
106.5 22 5030
112.346153846154 27.1153846153846 5031
112.833333333333 35.1666666666667 5032
115.181818181818 28.3636363636364 5033
114.681818181818 23.8636363636364 5034
117 -29.5 5035
117.5 34.5 5036
117.5 39.5 5037
131.944444444444 -22.4444444444444 5038
9.5 40.5 5039
14.5 -18.5 5040
17.5 -22.5 5041
14.5 32.5 5042
16 15.5 5043
152.5 -28.5 5044
158.5 52.5 5045
17.5 -14.5 5046
18.5 -21 5047
18.5 -24.5 5048
24.6666666666667 -24.1666666666667 5049
22.1666666666667 15.8333333333333 5050
21.5 40 5051
23.5 -26.5 5052
24 15.5 5053
24.75 41.75 5054
26.75 -21.75 5055
28 -23.5 5056
28.5 -21.5 5057
30.0714285714286 40.2142857142857 5058
28.5 41.5 5059
29.5 41.5 5060
29.5 46.5 5061
3.5 16.5 5062
30.5 -27.5 5063
35.2272727272727 47.5909090909091 5064
36 40.5 5065
37.5 45.5 5066
42.5909090909091 49.1363636363636 5067
39.1666666666667 49.1666666666667 5068
39.5 10.5 5069
40 39.5 5070
44.5 14.5 5071
45.5 33.5 5072
45.9 50.7 5073
47.5 -18.5 5074
46.5 33.5 5075
49.5 24.5 5076
52.1666666666667 30.1666666666667 5077
56 39.5 5078
64 48 5079
57.5 44.5 5080
9 15.5 5081
67.5 32.25 5082
65.3181818181818 45.3181818181818 5083
64 44.5 5084
64.5 43.5 5085
65.5 37.5 5086
67.5 52.5 5087
69.7 24.9 5088
67.5 36.5 5089
70.1 45.9 5090
71.9444444444444 30.9444444444444 5091
70.5 32.5 5092
71.5 25.5 5093
72.5 41.5 5094
73.5 18.5 5095
74.6428571428571 28.9285714285714 5096
74.5 38.5 5097
75.5 27.5 5098
75.5 45.5 5099
76.5 28.5 5100
8.5 36.5 5101
81 28.5 5102
84.5 27.5 5103
87.5 45.5 5104
97.8333333333333 23.6666666666667 5105
95.5 27.5 5106
0 13.5 6001
-1.5 15.9166666666667 6002
-2.5 31.25 6003
3.41666666666667 34.5833333333333 6004
-2.1 12.7 6005
-4.83333333333333 31.8333333333333 6006
-7.6875 30.3125 6007
-1.5 37.5 6008
-8.97368421052632 14.3947368421053 6009
-14.5 16.5 6010
-102.5 25.0714285714286 6011
-101.833333333333 32.8333333333333 6012
-104.666666666667 28.3333333333333 6013
-104.236842105263 32.1842105263158 6014
-102.5 36.3 6015
-104.5 30.5 6016
-108.5 30.7727272727273 6017
-112.6 34.3 6018
-108.5 44.5 6019
-12.5 14 6020
-7.5 17 6021
-117.8 38.7 6022
-118.038461538462 35.1923076923077 6023
-115.5 51.5 6024
-13.5 20 6025
-13.8333333333333 11.1666666666667 6026
-14.5 14 6027
-71.5 12.5 6028
-3 14.5 6029
-37.5 -4.5 6030
-39.8333333333333 -10.1666666666667 6031
-65.5 -20.5 6032
-66 -22.5 6033
-67.5 -38.5 6034
-65.75 -40.5 6035
-70 11.5 6036
-66.9 -18.9 6037
-66.9444444444444 -29.2777777777778 6038
-69.5 -18.5 6039
-75.1666666666667 -14.1666666666667 6040
-75.5 -12.5 6041
-80.5 -3.5 6042
-94.5 43 6043
-97.5 48.5 6044
5.64285714285714 14.5357142857143 6045
9.64285714285714 11.2142857142857 6046
12.3333333333333 15.1666666666667 6047
13.9615384615385 31.6538461538462 6048
9.83333333333333 34.0555555555556 6049
115.166666666667 42.8333333333333 6050
112.088235294118 47.6764705882353 6051
104.5 48 6052
106.966666666667 38.7666666666667 6053
117.706896551724 -28.6034482758621 6054
115.5 -21.5 6055
117.5 48.5 6056
117.833333333333 45.8333333333333 6057
117.5 49.5 6058
17.375 -17.375 6059
16.5 -18.75 6060
15.3 -21.1 6061
13.5 13 6062
134.491379310345 -19.2068965517241 6063
145.8 -30.9333333333333 6064
14.5 11.5 6065
16.0714285714286 14.5 6066
147.9 -22.86 6067
15.5 30 6068
17.5 -24.5 6069
22.0652173913043 -32.0217391304348 6070
20.1 14.3 6071
19.7 -18.9 6072
24.3571428571429 -29.0238095238095 6073
22 -17.5 6074
22.2142857142857 -19.3571428571429 6075
24.3333333333333 -19.5 6076
23.5 -27.5 6077
27.1428571428571 14.0357142857143 6078
