"LON" "LAT" "FPU_code" "LONLAT"
36.5 41.5 242 "36.5/41.5"
-69.5 -10.5 8 "-69.5/-10.5"
-73.5 -8.5 12 "-73.5/-8.5"
142.5 53.5 2 "142.5/53.5"
38.5 49.5 28 "38.5/49.5"
-87.5 13.5 48 "-87.5/13.5"
-101.5 40.5 141 "-101.5/40.5"
131.5 -15.5 49 "131.5/-15.5"
112.5 -7.5 1060 "112.5/-7.5"
38.5 -8.5 74 "38.5/-8.5"
-113.5 55.5 50 "-113.5/55.5"
-70.5 -47.5 238 "-70.5/-47.5"
-120.5 59.5 50 "-120.5/59.5"
-55.5 -7.5 8 "-55.5/-7.5"
-49.5 -7.5 243 "-49.5/-7.5"
21.5 53.5 176 "21.5/53.5"
104.5 54.5 1 "104.5/54.5"
-84.5 45.5 94 "-84.5/45.5"
24.5 17.5 211 "24.5/17.5"
73.5 62.5 174 "73.5/62.5"
26.5 -19.5 126 "26.5/-19.5"
-64.5 -3.5 8 "-64.5/-3.5"
-103.5 51.5 190 "-103.5/51.5"
-74.5 -5.5 12 "-74.5/-5.5"
28.5 -24.5 128 "28.5/-24.5"
-73.5 11.5 170 "-73.5/11.5"
-124.5 53.5 7 "-124.5/53.5"
-105.5 31.5 200 "-105.5/31.5"
-5.5 35.5 168 "-5.5/35.5"
-71.5 -8.5 8 "-71.5/-8.5"
-51.5 -23.5 186 "-51.5/-23.5"
29.5 14.5 211 "29.5/14.5"
79.5 60.5 174 "79.5/60.5"
-115.5 42.5 56 "-115.5/42.5"
-0.5 40.5 102 "-0.5/40.5"
75.5 30.5 108 "75.5/30.5"
-91.5 42.5 140 "-91.5/42.5"
33.5 13.5 157 "33.5/13.5"
79.5 45.5 117 "79.5/45.5"
14.5 51.5 175 "14.5/51.5"
89.5 57.5 174 "89.5/57.5"
-61.5 51.5 38 "-61.5/51.5"
77.5 26.5 890 "77.5/26.5"
-122.5 43.5 56 "-122.5/43.5"
-84.5 12.5 48 "-84.5/12.5"
-77.5 40.5 244 "-77.5/40.5"
14.5 -14.5 41 "14.5/-14.5"
72.5 57.5 174 "72.5/57.5"
124.5 -16.5 49 "124.5/-16.5"
-56.5 -1.5 8 "-56.5/-1.5"
100.5 8.5 3 "100.5/8.5"
49.5 49.5 253 "49.5/49.5"
18.5 50.5 176 "18.5/50.5"
-50.5 -21.5 186 "-50.5/-21.5"
-3.5 39.5 103 "-3.5/39.5"
-62.5 4.5 183 "-62.5/4.5"
151.5 -26.5 772 "151.5/-26.5"
17.5 2.5 59 "17.5/2.5"
21.5 5.5 58 "21.5/5.5"
142.5 -33.5 142 "142.5/-33.5"
103.5 37.5 131 "103.5/37.5"
64.5 31.5 268 "64.5/31.5"
111.5 36.5 1010 "111.5/36.5"
44.5 51.5 26 "44.5/51.5"
-60.5 -38.5 213 "-60.5/-38.5"
71.5 42.5 118 "71.5/42.5"
-57.5 -37.5 213 "-57.5/-37.5"
69.5 37.5 15 "69.5/37.5"
-53.5 3.5 165 "-53.5/3.5"
16.5 14.5 121 "16.5/14.5"
-97.5 26.5 200 "-97.5/26.5"
145.5 -23.5 49 "145.5/-23.5"
-52.5 0.5 8 "-52.5/0.5"
-57.5 -20.5 186 "-57.5/-20.5"
-75.5 46.5 38 "-75.5/46.5"
90.5 47.5 172 "90.5/47.5"
-116.5 54.5 50 "-116.5/54.5"
66.5 57.5 174 "66.5/57.5"
-50.5 -11.5 243 "-50.5/-11.5"
-61.5 0.5 8 "-61.5/0.5"
44.5 -24.5 134 "44.5/-24.5"
7.5 52.5 85 "7.5/52.5"
-133.5 59.5 7 "-133.5/59.5"
27.5 13.5 211 "27.5/13.5"
-149.5 64.5 7 "-149.5/64.5"
-73.5 8.5 170 "-73.5/8.5"
-46.5 -17.5 214 "-46.5/-17.5"
54.5 53.5 254 "54.5/53.5"
22.5 7.5 58 "22.5/7.5"
30.5 31.5 154 "30.5/31.5"
-75.5 44.5 94 "-75.5/44.5"
149.5 -23.5 772 "149.5/-23.5"
113.5 52.5 19 "113.5/52.5"
-97.5 56.5 190 "-97.5/56.5"
54.5 50.5 248 "54.5/50.5"
42.5 19.5 20000 "42.5/19.5"
24.5 57.5 23 "24.5/57.5"
141.5 -35.5 142 "141.5/-35.5"
-35.5 -6.5 166 "-35.5/-6.5"
119.5 50.5 19 "119.5/50.5"
-54.5 -23.5 186 "-54.5/-23.5"
-0.5 32.5 203 "-0.5/32.5"
26.5 -16.5 286 "26.5/-16.5"
127.5 -14.5 49 "127.5/-14.5"
18.5 -29.5 181 "18.5/-29.5"
-101.5 42.5 141 "-101.5/42.5"
-60.5 -26.5 185 "-60.5/-26.5"
81.5 6.5 229 "81.5/6.5"
127.5 35.5 224 "127.5/35.5"
36.5 54.5 254 "36.5/54.5"
96.5 57.5 274 "96.5/57.5"
33.5 37.5 242 "33.5/37.5"
39.5 13.5 156 "39.5/13.5"
-71.5 -52.5 52 "-71.5/-52.5"
-59.5 -7.5 8 "-59.5/-7.5"
48.5 -13.5 134 "48.5/-13.5"
43.5 61.5 163 "43.5/61.5"
24.5 -13.5 286 "24.5/-13.5"
56.5 24.5 20002 "56.5/24.5"
73.5 29.5 1090 "73.5/29.5"
